station_name,lat_wgs84,lon_wgs84,E_LV95,N_LV95,workspace_count,wifi_count,ev_count,shared_mob_count,cell_tower_count,transit_score,workspace_density,temporal_coverage,connectivity_score,mobility_score,WCI,wci_rank
"Vernier, Blandonnet",46.221936,6.097217,2502139.8,1118968.4,0,2,6,134,220,1.0,0.0,0.0,0.8,0.4467,0.4647,3
Lausanne,46.516795,6.629087,2540941.3,1151736.7,11,8,3,111,127,0.3393,0.8462,0.4727,0.725,0.37,0.5536,2
Renens VD,46.537046,6.57892,2537281.4,1153987.2,0,3,1,92,105,0.3155,0.0,0.0,0.9333,0.3067,0.2653,13
Genève,46.210228,6.142435,2505438.5,1117667.3,13,13,15,300,246,0.2976,1.0,0.5,0.6923,1.0,0.6431,1
Vevey,46.463002,6.84343,2556578.2,1145758.6,7,7,12,41,75,0.2381,0.5385,0.4571,0.6,0.1367,0.4011,4
Aigle,46.316856,6.96367,2565350.1,1129517.1,0,0,0,23,70,0.1964,0.0,0.0,0.0,0.0767,0.0666,27
Morges,46.511102,6.493958,2531083.2,1151104.0,4,3,6,33,62,0.1905,0.3077,0.225,0.6667,0.11,0.2901,9
Montreux,46.435887,6.910425,2561465.7,1142745.2,6,4,7,22,40,0.1905,0.4615,0.2333,0.75,0.0733,0.339,8
Nyon,46.384429,6.23595,2512260.7,1137026.6,4,5,13,31,98,0.1726,0.3077,0.225,0.64,0.1033,0.28,11
Genève-Eaux-Vives,46.201461,6.166549,2507197.7,1116693.0,2,3,6,160,184,0.1488,0.1538,0.25,0.5333,0.5333,0.2664,12
Genève-Champel,46.192208,6.153473,2506243.8,1115664.7,2,5,6,157,160,0.1488,0.1538,0.25,0.64,0.5233,0.2814,10
Lancy-Bachet,46.174342,6.12934,2504483.2,1113679.2,0,0,8,76,126,0.1488,0.0,0.0,0.0,0.2533,0.07,26
Lancy-Pont-Rouge,46.18596,6.124929,2504161.4,1114970.4,0,0,5,197,148,0.1429,0.0,0.0,0.0,0.6567,0.1085,21
Palézieux,46.542766,6.83786,2556171.9,1154622.9,0,0,0,16,31,0.1369,0.0,0.0,0.0,0.0533,0.0464,31
"Aubonne, gare",46.493844,6.39294,2523713.6,1149186.1,0,0,0,13,21,0.131,0.0,0.0,0.0,0.0433,0.0436,32
Coppet,46.317405,6.187806,2508748.5,1129578.1,0,1,2,5,19,0.1131,0.0,0.0,0.2,0.0167,0.0656,28
Bussigny,46.547597,6.551814,2535304.0,1155159.8,0,0,0,31,5,0.1071,0.0,0.0,0.0,0.1033,0.0425,33
Prilly-Malley,46.526697,6.602624,2539010.7,1152837.1,0,1,10,84,132,0.1071,0.0,0.0,1.0,0.28,0.2101,16
Cully,46.488565,6.727141,2548094.6,1148599.4,0,1,0,1,7,0.1071,0.0,0.0,0.2,0.0033,0.0625,29
"Begnins, poste",46.440225,6.247701,2513118.0,1143227.3,0,0,3,8,39,0.1012,0.0,0.0,0.0,0.0267,0.033,36
Genève-Sécheron,46.222452,6.144542,2505592.3,1119025.8,1,3,5,48,82,0.0952,0.0769,1.0,0.8,0.16,0.3838,7
Genthod-Bellevue,46.256747,6.153947,2506278.4,1122837.1,1,0,4,30,48,0.0952,0.0769,0.0,0.0,0.1,0.0578,30
Versoix,46.279741,6.165718,2507137.1,1125392.4,2,0,5,12,34,0.0952,0.1538,0.5,0.0,0.04,0.171,17
Tannay,46.307659,6.181097,2508259.0,1128495.0,0,1,0,3,4,0.0952,0.0,0.0,0.8,0.01,0.1496,18
Mies,46.298503,6.167641,2507277.4,1127477.5,0,0,1,3,20,0.0952,0.0,0.0,0.0,0.01,0.0296,37
Villeneuve VD,46.398369,6.926992,2562674.3,1138575.8,1,1,9,18,45,0.0952,0.0769,0.7,0.2,0.06,0.2238,15
Bex,46.251462,7.000653,2568048.1,1122249.7,0,0,0,19,121,0.0893,0.0,0.0,0.0,0.0633,0.0331,35
Gland,46.419998,6.269128,2514681.2,1140979.5,1,2,7,20,37,0.0774,0.0769,0.0,0.5,0.0667,0.1241,20
Allaman,46.47576,6.399683,2524205.6,1147176.4,0,1,2,9,29,0.0714,0.0,0.0,0.4,0.03,0.0844,25
Puidoux,46.493838,6.76568,2550906.1,1149185.4,0,0,1,5,25,0.0714,0.0,0.0,0.0,0.0167,0.0231,38
"Prangins, Les Abériaux",46.393015,6.254119,2513586.2,1137980.8,0,0,0,5,15,0.0655,0.0,0.0,0.0,0.0167,0.0213,39
Genève-Aéroport,46.232547,6.111969,2503216.0,1120147.7,0,4,5,26,119,0.0536,0.0,0.0,0.7,0.0867,0.1297,19
Rolle,46.462757,6.336387,2519587.9,1145731.4,2,0,5,8,42,0.0536,0.1538,0.2,0.0,0.0267,0.0972,23
Grandvaux,46.496948,6.722641,2547766.3,1149531.1,0,0,0,1,17,0.0536,0.0,0.0,0.0,0.0033,0.0164,41
St-Prex,46.482324,6.455897,2528306.5,1147905.9,0,0,3,6,33,0.0476,0.0,0.0,0.0,0.02,0.0163,42
Lonay-Préverenges,46.523141,6.519527,2532948.5,1152441.9,1,0,1,15,26,0.0476,0.0769,1.0,0.0,0.05,0.2385,14
Lausanne-Flon,46.520798,6.63033,2541031.9,1152181.6,7,10,14,185,275,0.0476,0.5385,0.4429,0.64,0.6167,0.3951,5
La Conversion,46.513087,6.678307,2544532.0,1151324.6,1,0,7,42,77,0.0476,0.0769,0.2,0.0,0.14,0.0875,24
La Tour-de-Peilz,46.455457,6.859523,2557752.3,1144920.1,1,1,10,21,36,0.0476,0.0769,1.0,1.0,0.07,0.3905,6
Burier,46.447889,6.877108,2559035.1,1144079.0,0,0,2,5,23,0.0476,0.0,0.0,0.0,0.0167,0.016,43
Clarens,46.442736,6.895771,2560396.7,1143506.4,0,0,0,9,23,0.0476,0.0,0.0,0.0,0.03,0.0173,40
"Founex, est",46.334766,6.19494,2509268.9,1131507.5,0,0,2,3,34,0.0417,0.0,0.0,0.0,0.01,0.0135,45
Rivaz,46.474211,6.784583,2552285.2,1147004.3,0,0,3,1,12,0.0417,0.0,0.0,0.0,0.0033,0.0128,46
"Perroy, Couronnette",46.463879,6.352911,2520793.4,1145856.0,0,0,1,0,8,0.0357,0.0,0.0,0.0,0.0,0.0107,47
Epesses,46.489333,6.745157,2549408.9,1148684.8,0,1,0,0,10,0.0357,0.0,0.0,0.2,0.0,0.0407,34
Denges-Echandens,46.529129,6.54049,2534477.8,1153107.4,0,0,1,25,31,0.0238,0.0,0.0,0.0,0.0833,0.0155,44
Bossière,46.509753,6.699305,2546063.9,1150954.1,1,1,2,4,37,0.0238,0.0769,0.2,0.2,0.0133,0.0977,22
Territet,46.426381,6.922695,2562360.8,1141688.8,0,0,1,3,27,0.0238,0.0,0.0,0.0,0.01,0.0081,48
"St-Saphorin (Lavaux), gare",46.472696,6.79809,2553270.5,1146835.9,0,0,0,1,13,0.0,0.0,0.0,0.0,0.0033,0.0003,49
