station_name,station_type,google_place_id,review_text,shelter,cleanliness,safety,wayfinding,amenities,accessibility,crowding,beauty,work_friendly,sentiment
Lutry,train,ChIJu7AaNDsvjEcRl5svGw83zQA,"Easy access for transportation bus and train, very near to nature, lake and vineyards",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,positive
Lutry,train,ChIJu7AaNDsvjEcRl5svGw83zQA,"Completely renovated. Now it has large touch screens for itinerary details",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,positive
Chexbres-Village,train,ChIJxybiRRAojEcRZzt76U0zH6g,"Stunning little village perched above Lake Geneva with sweeping vineyard views. Called the Balcony of the Lake. UNESCO-listed Lavaux vineyard terraces.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,positive
Chexbres-Village,train,ChIJxybiRRAojEcRZzt76U0zH6g,"A pretty station full of flowers, well decorated, with a magnificent view of the lake",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,positive
Chexbres-Village,train,ChIJxybiRRAojEcRZzt76U0zH6g,"Recommend taking a walk from Chexbres station to St. Saphorin station!",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,positive
Puidoux-Chexbres,train,ChIJu7DG6EMojEcRXektYMynUZI,"Ticket machine, snack machines, photo booth, phone booth, mailbox on platform 1. Heated waiting room in station building. Clean modern toilets cost 1 CHF. Ramps or stairs, trash cans, benches on both platforms. Large paid parking lot.",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,positive
Puidoux-Chexbres,train,ChIJu7DG6EMojEcRXektYMynUZI,"Small train station with regular schedule every hour. Destinations: Lausanne, Payerne, Vevey. Two Selecta stations for snacks. Heated waiting room.",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,neutral
Ouchy-Olympique,metro_m2,ChIJ7_WXsdovjEcRwB1aRfHehbE,"Well organized station with very friendly polite and helpful staff. Amazing pharmacy shop at the station.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,positive
Ouchy-Olympique,metro_m2,ChIJ7_WXsdovjEcRwB1aRfHehbE,"Nice cute and quick metro station, trains scheduled every approx 4 mins to the main Lausanne train station",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,positive
Ouchy-Olympique,metro_m2,ChIJ7_WXsdovjEcRwB1aRfHehbE,"Magnificent place in Lausanne by Ouchy Port. Take the metro station close by to move everywhere in Lausanne",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,positive
Jordils,metro_m2,ChIJ7fJpKtAvjEcRfQruJQqn60c,"A potentially forgettable stop, benefits from proximity to Ouchy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
Jordils,metro_m2,ChIJ7fJpKtAvjEcRfQruJQqn60c,"Google is confusing M2 Jordils Metro with Line 2 Jordils Bus station. Bus stop is 100m further on Avenue d'Ouchy.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,negative
Jordils,metro_m2,ChIJ7fJpKtAvjEcRfQruJQqn60c,"Beautiful landscaped esplanade as you exit the metro",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,positive
Délices,metro_m2,ChIJj66Q_dEvjEcRSXBgxYAcLPA,"This station marks the transition. From the main station the subway continues underground from here to the lakeshore.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
Délices,metro_m2,ChIJj66Q_dEvjEcRSXBgxYAcLPA,"The metro and bus stops are well equipped for passengers",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,positive
Grancy,metro_m2,ChIJ_XLRfc0vjEcRDaYFq8gfqVY,"Half a tunnel station and half an open-air station. Well-maintained. Usual accessibility.",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,positive
Grancy,metro_m2,ChIJ_XLRfc0vjEcRDaYFq8gfqVY,"Inconvenient access",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,negative
Riponne-Maurice Béjart,metro_m2,ChIJG9VWlzEujEcRkcwJ5aaBfkM,"Centrally located and well connected metro station. Ticket machines might be out of service at times — install SBB app better",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,neutral
Riponne-Maurice Béjart,metro_m2,ChIJG9VWlzEujEcRkcwJ5aaBfkM,"Disaster: 30 minutes of waiting. Outrageous",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,negative
Riponne-Maurice Béjart,metro_m2,ChIJG9VWlzEujEcRkcwJ5aaBfkM,"If you are going to tour Lausanne old city center get off here. After the cathedral you can slowly go down to the central station.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,positive
Bessières,metro_m2,ChIJfRSoGjQujEcRzoRl_8f8izk,"Very well designed from an architectural point of view! Beautiful but complicated without the elevator.",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,positive
Bessières,metro_m2,ChIJfRSoGjQujEcRzoRl_8f8izk,"Take the elevator to the top floor and you will see the Lausanne Cathedral. Cross the bridge and arrive in about 6 minutes.",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,positive
Bessières,metro_m2,ChIJfRSoGjQujEcRzoRl_8f8izk,"Decorated with drawings of caricaturist Mix et Remix. Most beautiful metro stop in Lausanne.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,positive
Ours,metro_m2,ChIJVRfB4DUujEcRD1xbk9l6O_g,"Nice metro station with elevator with lots of shops nearby and connection to bus 7 and bus 6. Has departure board.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,positive
Ours,metro_m2,ChIJVRfB4DUujEcRD1xbk9l6O_g,"A very low-lying metro station. Strongly recommend using elevator for anyone with limited mobility — large number of stairs.",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,neutral
Ours,metro_m2,ChIJVRfB4DUujEcRD1xbk9l6O_g,"Horrible stop. Traffic lights at intersection take 5 minutes to turn green.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,negative
CHUV,metro_m2,ChIJf1BQGTgujEcRhN0kqNUKFEw,"Hospital and the people that work there are amazing. Nothing to complain.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,positive
Sallaz,metro_m2,ChIJr9kR8UAujEcR8fffdOWqVcw,"Nice spot! Very well located. Migros, Coop, Fleur de Pain bakery, kiosk, and metro all nearby. Benches to sit and wait for the bus.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,positive
Sallaz,metro_m2,ChIJr9kR8UAujEcR8fffdOWqVcw,"They finally added lights to the brown block giving it beauty. Decoration is supposed to be linden leaves. Great Migros and Coop, wide selection.",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,neutral
Fourmi,metro_m2,ChIJDcY93msujEcRFa7pJCV6h4c,"We often set this metro station as meeting point before driving to activities outside Lausanne. Short distance from motorway.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
Fourmi,metro_m2,ChIJDcY93msujEcRFa7pJCV6h4c,"Jordil's little sister. Terrible stop — nothing there unless you live there.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,negative
Vennes,metro_m2,ChIJDfMsYW8ujEcR5dQ95dAFR-k,"Large parking lot above. Top floor is aquarium hotel and restaurant.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,neutral
Vennes,metro_m2,ChIJDfMsYW8ujEcR5dQ95dAFR-k,"Without Aquatis and Unisanté this stop is miserable!",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,negative
Vennes,metro_m2,ChIJDfMsYW8ujEcR5dQ95dAFR-k,"Clean and well-organized. Near P+R car park, Acquatis, motorway, and Vennes vocational school.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,positive
EPFL,metro_m1,ChIJmd6iagIxjEcR1WzI41CFCoc,"One of the best and most convenient metro stations!",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,positive
EPFL,metro_m1,ChIJmd6iagIxjEcR1WzI41CFCoc,"Very useful metro to Lausanne Flon.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,positive
EPFL,metro_m1,ChIJmd6iagIxjEcR1WzI41CFCoc,"There are not enough sitting places available when waiting.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,negative
Bourdonnette,metro_m1,ChIJT59_87MxjEcR_JZaIJPsvzc,"Too dangerous",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,negative
Bourdonnette,metro_m1,ChIJT59_87MxjEcR_JZaIJPsvzc,"Forgettable but there are buses so it's ok if you remember to get off",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
Vigie,metro_m1,ChIJXXw78isujEcRG7Uenxt2llw,"For three days the elevators not working if you call them from the bridge. One has to walk down to first floor and descend three flights of stairs. Zero accessibility.",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,negative
Vigie,metro_m1,ChIJXXw78isujEcRG7Uenxt2llw,"Elevators always broken",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,negative
Vigie,metro_m1,ChIJXXw78isujEcRG7Uenxt2llw,"Not a nice metro station in Lausanne. This one is functional.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,negative
Vigie,metro_m1,ChIJXXw78isujEcRG7Uenxt2llw,"Very dirty and unfriendly place at night. Always littering and unsafe. Strong smell of pee.",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,negative
Chêne-Bourg,train_lex,ChIJ0_2f5eJvjEcRSgZji21tNBs,"Too expensive to store a bike there. Not how to encourage bike mobility.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,negative
Chêne-Bourg,train_lex,ChIJ0_2f5eJvjEcRSgZji21tNBs,"Unbelievable! As soon as it rains this station turns into a sieve! Nobody does anything about it.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,negative
Annemasse,train_lex,ChIJzQ6EjS5ujEcRfE3CZ61N5JE,"Often no train driver. Often only 4 carriages not 8. Often trains replaced by buses.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,negative
Annemasse,train_lex,ChIJzQ6EjS5ujEcRfE3CZ61N5JE,"Good train service. Bad attention from tourist service staff — answered in derogatory way about not speaking English.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,negative
Annemasse,train_lex,ChIJzQ6EjS5ujEcRfE3CZ61N5JE,"Nice city centre with a lot of restaurants and shops.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,positive
Genève-Jardin Anglais,cgn_boat,ChIJfbaBXTBljEcRd-HudmThm9w,"Nice ferry to ride — you can see the lake. It is also free to take it.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,positive
Genève-Jardin Anglais,cgn_boat,ChIJfbaBXTBljEcRd-HudmThm9w,"Beautiful lake in front of you. Different activities scattered around and many food stops.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,positive
Genève-Mont-Blanc,cgn_boat,ChIJQaFY-SVljEcRxtJjSLh9y7M,"Took 3 hour return cruise. Waitress greeted us asking about eating. Shown to 2nd class dining area. Tables set for lunch. Clean view of the lake. Cosy radiator at our table.",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,positive
Genève-Mont-Blanc,cgn_boat,ChIJQaFY-SVljEcRxtJjSLh9y7M,"Staff refused to speak English, continuing to speak French. Service was nonexistent. While every French-speaking table was served we were completely ignored for 2.5 hours.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,negative
Genève-Mont-Blanc,cgn_boat,ChIJQaFY-SVljEcRxtJjSLh9y7M,"Employee on board began shouting in French. When asked about English he screamed louder. Shocking display of hostility.",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,negative
Nyon CGN,cgn_boat,ChIJDz7nVaBDjEcRlNSxsYCg_rs,"Convenient and pretty quay to get to Yvoire. We were lucky enough to board this magnificent boat L'Italie.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,positive
Morges CGN,cgn_boat,ChIJg9T5lxU3jEcRDZ4PHhMyqU4,"A very beautiful clean and quiet place. View of Alps mountains whose peaks are partially covered in snow.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,positive
Lausanne-Ouchy CGN,cgn_boat,ChIJIdm23cQvjEcRoXhLUHVtg5s,"Boat tour had 8 stops over three hours including light lunch. Great service and attention to details.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,positive
Lausanne-Ouchy CGN,cgn_boat,ChIJIdm23cQvjEcRoXhLUHVtg5s,"Very friendly service and also very luxurious and clean ship experience. First class is highly recommended!",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,positive
Lausanne-Ouchy CGN,cgn_boat,ChIJIdm23cQvjEcRoXhLUHVtg5s,"Fascinating views of the terraces of Lavaux from the lake. Boats are clean and well maintained. Small cafe inside. Gets filled quickly in a few stops.",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,positive
Vevey CGN,cgn_boat,ChIJkSm8ucicjkcRwEuMKDxUGCs,"At the CGN landing stage you can watch wonderful ships arriving and departing during summer months — unforgettable trip on Lake Geneva.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,positive
Vevey CGN,cgn_boat,ChIJkSm8ucicjkcRwEuMKDxUGCs,"Two landing stages linked by a promenade that is always flowery. Sometimes vegetable and aromatic herb planters to pick in the early morning.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,positive
Montreux CGN,cgn_boat,ChIJ9-Hw4RqbjkcRfV1NfS6fTw0,"Beautiful amphitheatrically located town above Lake Leman. Due to Jazz Festival temporary buildings right on the promenade.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,positive
Montreux CGN,cgn_boat,ChIJ9-Hw4RqbjkcRfV1NfS6fTw0,"Very nice and beautiful place. The Xmas market is always very nice with Santa's show and great food and drinks.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,positive
Villeneuve CGN,cgn_boat,ChIJU_WP-DWbjkcRw2n3SlIli_o,"A small convenient port close to the train station offering some great destinations.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,positive
Villeneuve CGN,cgn_boat,ChIJU_WP-DWbjkcRw2n3SlIli_o,"A classic tourist trap. Tickets were for round trip from Lausanne not from Villeneuve. Workers dropped us off and told us to run to catch the train.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,negative
Cully CGN,cgn_boat,ChIJjQl95JMojEcRKMvkCE9o5_c,"A beautiful starting point to discover the Lavaux a UNESCO World Heritage site!",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,positive
Cully CGN,cgn_boat,ChIJjQl95JMojEcRKMvkCE9o5_c,"The little park next door is the best. So nice to just sit on a bench by the lake and watch the water splash around.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,positive
La Tour-de-Peilz CGN,cgn_boat,ChIJq7ujucicjkcRDy2JV-WO4CM,"A truly wonderful peaceful place with breathtakingly beautiful panorama. Walk along the shores of Lake Geneva far from hustle and bustle of the city.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,positive
Lausanne CFF,train_hub,ChIJEQLzX80vjEcRLgPvAOwnkkc,"Arrived at 12:38am on Monday to a ghost station. Toilets were locked as was the waiting area. Don't understand why stations aren't 24/7 in summer.",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,negative
Lausanne CFF,train_hub,ChIJEQLzX80vjEcRLgPvAOwnkkc,"Beautiful station with many shops and direct connection to most major towns in Switzerland.",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,positive
Lausanne CFF,train_hub,ChIJEQLzX80vjEcRLgPvAOwnkkc,"Having to pay for the toilet was surprising. Can't believe they charge for something that should be a basic public service.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,negative
Lausanne CFF,train_hub,ChIJEQLzX80vjEcRLgPvAOwnkkc,"Big main station. Several shops coffee cafes mini marts. Elevators available. Metro station very close. Ticket machines on several spots.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,positive
