id,name,operator,network,connectors,capacity,access,vehicle_type,address,municipality,lat_wgs84,lon_wgs84,E_LV95,N_LV95,source,osm_node_id,diemo_station_id,diemo_evse_ids,diemo_match_dist_m,diemo_n_evse,power_kw,charge_level,is_24h,auth_method,payment_options,accessibility_type,hotline,distance_to_lake_m,distance_to_transit_m,nearest_transit_name,distance_to_nearest_station_m,location_type,sheltered,dwell_context,ocm_id,ocm_uuid,ocm_title,ocm_status,ocm_is_operational,ocm_connection_types,ocm_max_power_kw,ocm_charging_levels,ocm_n_points,ocm_usage_type,ocm_usage_cost,ocm_is_pay_at_location,ocm_is_membership_required,ocm_is_access_key_required,ocm_operator,ocm_operator_url,ocm_general_comments,ocm_date_last_verified,ocm_match_dist_m
1,MOVE Station Bernex,MOVE,MOVE,Type 2 Outlet,4,public,car,Rue de Bernex 1901233 Bernex,Bernex,46.1786613,6.0836586,2495371.5,1115038.0,OSM,8245507656,CH*CCI*E21423,CH*CCI*E21423,41.4,1,22.0,medium,yes,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,,Paying publicly accessible,+41800292929,5746.1,3771.2,Lancy-Pont-Rouge,1886.3,street,FALSE,transit,174074,7E2460C6-C0C4-4A7C-A511-FB37928C96E9,P+R Bernex,Operational,True,CCS (Type 2); CHAdeMO; Type 2 (Tethered Connector) ,50,Level 2 : Medium (Over 2kW); Level 3:  High (Over 40kW),1,Public - Membership Required,,False,True,True,MOVE (CH),https://www.move.ch,,2021-03-15T11:01:00Z,27.8
2,EVite Station Vernier,EVite,,Type 2 Outlet,1,public,car,0 Null,Bernex,46.2255517,6.0856308,2495613.8,1120247.2,OSM,4219343926,CH*SWI*E276942,CH*SWI*E276942,56.7,1,11.0,medium,yes,NFC RFID Classic;REMOTE,Direct,Free publicly accessible,+41713881150,5088.7,776.8,Vernier-Meyrin,2064.3,surface_lot,FALSE,transit,73052,AA55F7E9-AF52-4510-977A-B1C630AE9F3F,Facchinetti Automobiles SA in Meyrin,Operational,True,CCS (Type 2); CHAdeMO; Type 2 (Socket Only),22,Level 2 : Medium (Over 2kW); Level 3:  High (Over 40kW),1,Public,Pay by credit card or subriprion,,,,(Unknown Operator),,Montag 08:00-18:00 UhrDienstag 08:00-18:00 UhrMittwoch-08:00-18:00 UhrDonners6tag 08:00-18:00 UhrFreitag08:00-18:00 UhrSamstag geschlossenSonntag geschlossen,2017-01-15T16:22:00Z,2.3
3,Electra Station Meyrin,Electra,,Type2,8,public,car,,Bernex,46.2822221,6.0893862,2496012.0,1126541.0,OSM,12521254757,,,,,150,,,,,,,8474.2,5901.8,Genève-Aéroport,3231.4,unknown,,transit,463193,6CD86DFD-44A4-4225-8E7F-4BF82E3A5827,Electra - Ornex - Fast food,Operational,True,CCS (Type 2); Type 2 (Socket Only),150,Level 2 : Medium (Over 2kW); Level 3:  High (Over 40kW),8,Public,,,,,Electra,https://www.go-electra.com,,2025-11-05T01:33:00Z,5.0
4,Type2 Station Airport area,,,Type2,4,public,car,,Bernex,46.2446779,6.095492,2496411.0,1122359.9,OSM,8454855559,,,,,,,,,,,,5721.2,1863.8,Genève-Aéroport,1560.3,unknown,,transit,,,,,,,,,,,,,,,,,,,
5,evpass Station 2,evpass,evpass,CHAdeMO+Type1+Type2+CCS,6,public,car,Chemin du Tourbillon1228 Plan-les-Ouates,Plan-les-Ouates,46.1663745,6.1024569,2496799.6,1113647.4,OSM,9861904216,806499ae-f23e-11f0-816b-42010aa40043,CH*SHE*E497*1;CH*SHE*E7523*1;CH*SHE*E498*1;CH*SHE*E7523*2;CH*SHE*E7523*3;CH*SHE*E7523*4,16.7,6,22.0,medium,no,,,Restricted access,+41225445465,5630.7,3183.5,Carouge-Bachet (CEVA),141.0,street,FALSE,transit,,,,,,,,,,,,,,,,,,,
6,Mobility Onex,Mobility,Mobility,mixed (EV fleet),1,members,car-sharing,,Onex,46.18793,6.10418,2496973.5,1116041.0,OSM,,,,,,,,,,,,,3858.3,1967.4,Lancy-Pont-Rouge,1845.4,car_sharing_hub,,transit,,,,,,,,,,,,,,,,,,,
7,Shell evpass Station,Shell,evpass,CHAdeMO+Type1+Type2+CCS,6,public,car,Chemin du Tourbillon1228 Plan-les-Ouates,Plan-les-Ouates,46.1663262,6.1042861,2496940.8,1113639.6,OSM,9861904215,806499ae-f23e-11f0-816b-42010aa40043,CH*SHE*E497*1;CH*SHE*E7523*1;CH*SHE*E498*1;CH*SHE*E7523*2;CH*SHE*E7523*3;CH*SHE*E7523*4,124.3,6,22.0,medium,no,,,Restricted access,+41225445465,5552.3,3066.2,Carouge-Bachet (CEVA),141.0,street,FALSE,transit,,,,,,,,,,,,,,,,,,,
8,Schneider Electric Station,Schneider Electric,,,2,public,car,,Plan-les-Ouates,46.2559942,6.1074903,2497357.6,1123601.9,OSM,4616586339,,,,,22,,,,,,,6208.7,2783.5,Genève-Aéroport,185.3,unknown,,transit,114930,24FFE443-A7EC-4E01-B51B-505FD0B82A40,"Ferney-Voltaire, Mairie",Operational,True,Europlug 2-Pin (CEE 7/16); Type 2 (Socket Only),22,Level 2 : Medium (Over 2kW),2,Public - Membership Required,"1€ les 20 premières minutes, puis 0,05 € par minute.",False,True,True,,,,2019-01-19T17:21:00Z,5.1
9,EVBox Station Plan-les-Ouates,EVBOX,,Type2,2,public,car,,Plan-les-Ouates,46.1651882,6.1091698,2497315.8,1113506.7,OSM,9861904214,,,,,,,,,,,,5451.1,2831.8,Carouge-Bachet (CEVA),273.3,unknown,,transit,,,,,,,,,,,,,,,,,,,
10,EVlink Station Meyrin,EVlink,,,1,public,car,,Plan-les-Ouates,46.2560079,6.1099009,2497543.5,1123600.3,OSM,7120597460,,,,,22,,,,,,,6123.5,2780.9,Genève-Aéroport,185.3,unknown,,transit,114931,3A9B0A1F-1FB0-49C1-82CC-7940E7AEB714,"Ferney-Voltaire, Centre",Operational,True,Europlug 2-Pin (CEE 7/16); Type 2 (Socket Only),22,Level 2 : Medium (Over 2kW),2,Public - Membership Required,"1 € les 20 premières minutes, puis 0,05 € par minute.",False,True,True,,,,2019-01-19T17:19:00Z,4.3
11,Tesla Supercharger Balexert,Tesla,Tesla Supercharger,Tesla SC 250kW + CCS 250kW,24,customers,car,Av.Louis-Casaï 271209 Geneva,Plan-les-Ouates,46.2190824,6.1107821,2497541.9,1119494.9,OSM,11491999626,CH*TSL*E0D1SM0,CH*TSL*E0D1SM0,3.3,1,250.0,ultra-fast,yes,REMOTE,Contract,Paying publicly accessible,+41618553021,3028.2,1328.8,Genève-Aéroport,174.9,surface_lot,FALSE,errands_mixed,313229,96F7A371-4F64-4972-9C1C-399E852695BC,Tesla Supercharger Centre Balexert (Garage Level 1),Operational,True,CCS (Type 2),250,Level 3:  High (Over 40kW),24,Public - Membership Required,"0,49 CHF/kWh peek 0,67",False,True,True,Tesla (including non-tesla),https://www.tesla.com/en_AU/support/non-tesla-supercharging,,2025-06-06T16:04:00Z,9.2
12,evpass Station Plan-les-Ouates,evpass,evpass,CHAdeMO+Type1+Type2+CCS,,private,car,,Plan-les-Ouates,46.169973,6.1109497,2497462.3,1114036.2,OSM,9862083219,,,,,,,,,,,,4927.6,2416.9,Carouge-Bachet (CEVA),434.2,unknown,,transit,,,,,,,,,,,,,,,,,,,
13,MOVE Station Plan-les-Ouates,MOVE,MOVE,Type2,,public,car,,Plan-les-Ouates,46.1662003,6.1124035,2497567.5,1113615.0,OSM,9862083218,,,,,,,,,,,,5227.5,2567.6,Carouge-Bachet (CEVA),273.3,unknown,,transit,,,,,,,,,,,,,,,,,,,
14,Mobility Genève Aéroport,Mobility,Mobility,mixed (EV fleet),4,members,car-sharing,,Genève,46.2326,6.11251,2497700.6,1120995.1,OSM,,,,,,,,,,,,,3844.2,292.0,Genève-Aéroport,882.6,car_sharing_hub,,transit,,,,,,,,,,,,,,,,,,,
15,Underground Station Balexert,MOVE,,Type 2 Outlet,1,public,car,Av. Louis-Casaï 271214 Vernier,Plan-les-Ouates,46.2192923,6.1130355,2497716.1,1119515.3,OSM,4239407469,CH*CCC*E50374,CH*CCC*E50374,51.7,1,22.0,medium,yes,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,,Paying publicly accessible,+41800292929,2884.7,1329.9,Genève-Aéroport,70.2,underground_parking,TRUE,transit,85240,DA141BF9-E5BA-4BF8-933B-35FD4B08822C,Centre Balexert,Operational,True,Type 2 (Socket Only),22,Level 2 : Medium (Over 2kW),8,Public,free,,,,(Business Owner at Location),,https://balexert.ch/parkings/,2017-04-25T16:04:00Z,67.6
16,Mobility Genève Les Ouches,Mobility,Mobility,mixed (EV fleet),2,members,car-sharing,,Genève,46.2090788,6.1131455,2497705.4,1118379.9,OSM,,,,,,,,,,,,,2541.6,2237.8,Vernier-Meyrin,807.6,car_sharing_hub,,transit,,,,,,,,,,,,,,,,,,,
17,Mobility Vernier Balexert,Mobility,Mobility,mixed (EV fleet),1,members,car-sharing,Av. Louis-Casaï 271209 Genève,Vernier,46.21872,6.11342,2497744.7,1119451.2,OSM,,CH*CCI*E22309,CH*CCI*E22309,68.5,1,22.0,medium,yes,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,,Paying publicly accessible,+41800292929,2828.8,1398.4,Genève-Aéroport,70.2,car_sharing_hub,,transit,85240,DA141BF9-E5BA-4BF8-933B-35FD4B08822C,Centre Balexert,Operational,True,Type 2 (Socket Only),22,Level 2 : Medium (Over 2kW),8,Public,free,,,,(Business Owner at Location),,https://balexert.ch/parkings/,2017-04-25T16:04:00Z,22.1
18,Greenmotion Station,GreenMotion,,Type 2 Outlet,2,public,car,"Novotel Suites Genève Aéroport, Avenue Louis1216 Genève",Plan-les-Ouates,46.2205429,6.1136973,2497769.5,1119653.4,OSM,12542638601,39570f16-82db-11ea-9671-42010a840003,CH*SHE*E7403*1;CH*SHE*E7403*2,1.6,2,22.0,medium,yes,,,Restricted access,+41225445465,2909.6,1206.8,Genève-Aéroport,148.1,street,FALSE,transit,,,,,,,,,,,,,,,,,,,
19,Plan-les-Ouates Station,MOVE,,Type 2 Outlet,4,public,car,Route des Chevaliers-de-Malte 131226 Plan-les-Ouates,Plan-les-Ouates,46.1674129,6.1186684,2498053.5,1113741.6,OSM,13238514559,CH*CCI*E22434,CH*CCI*E22434,4.3,1,22.0,medium,yes,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,,Paying publicly accessible,+41800292929,4884.0,2120.9,Carouge-Bachet (CEVA),500.9,street,FALSE,transit,,,,,,,,,,,,,,,,,,,
20,Lancy Station,MOVE,,Type 2 Outlet,6,public,car,Chemin des Palettes1212 Grand-Lancy,Carouge,46.1757765,6.1214098,2498280.9,1114667.6,OSM,11595464038,CH*CCI*E20979,CH*CCI*E20979,3.9,1,22.0,medium,yes,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,,Paying publicly accessible,+41800292929,3958.5,1403.2,Carouge-Bachet (CEVA),338.4,street,FALSE,transit,,,,,,,,,,,,,,,,,,,
21,Mobility Grand-Saconnex,Mobility,Mobility,mixed (EV fleet),1,members,car-sharing,,Grand-Saconnex,46.2294,6.12301,2498504.5,1120625.8,OSM,,,,,,,,,,,,,3058.6,1054.3,Genève-Aéroport,882.6,car_sharing_hub,,transit,,,,,,,,,,,,,,,,,,,
22,Mobility Genève Charmilles,Mobility,Mobility,mixed (EV fleet),2,members,car-sharing,"Centre Commercial Planète Charmilles, Promena1211 Genève",Genève,46.20774,6.12346,2498498.8,1118217.7,OSM,,cb54aae2-4207-11e9-a2d7-42010a840003,CH*SHE*E6623*1;CH*SHE*E6623*2,90.2,2,22.0,medium,yes,,,Restricted access,+41225445465,1738.4,1463.8,Genève,407.9,commercial_retail,TRUE,shopping,,,,,,,,,,,,,,,,,,,
23,MOVE Station Carouge,MOVE,MOVE,Type2 22kW,7,public,car,Chemin des Rambossons 271213 Petit-Lancy,Carouge,46.1783509,6.1237549,2498466.8,1114950.7,OSM,11533526480,CH*CCI*E21327,CH*CCI*E21327,8.3,1,22.0,medium,yes,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,,Paying publicly accessible,+41800292929,3620.5,1135.6,Carouge-Bachet (CEVA),338.4,street,FALSE,transit,,,,,,,,,,,,,,,,,,,
24,Mobility Genève Jonction,Mobility,Mobility,mixed (EV fleet),1,members,car-sharing,,Genève,46.20105,6.12707,2498765.0,1117469.4,OSM,,,,,,,,,,,,,1601.7,1153.8,Lancy-Pont-Rouge,720.4,car_sharing_hub,,transit,,,,,,,,,,,,,,,,,,,
25,Mobility Genève Wendt,Mobility,Mobility,mixed (EV fleet),1,members,car-sharing,,Genève,46.21004,6.12759,2498821.8,1118468.0,OSM,,,,,,,,,,,,,1458.1,1124.2,Genève,338.6,car_sharing_hub,,transit,,,,,,,,,,,,,,,,,,,
26,Type2 Station Carouge,,,Type2 22kW,2,public,car,,Carouge,46.1808984,6.1281768,2498812.9,1115228.2,OSM,11533497355,,,,,,,,,,,,3213.7,714.8,Lancy-Bachet,442.9,unknown,,transit,,,,,,,,,,,,,,,,,,,
27,Mobility Genève Servette 2,Mobility,Mobility,mixed (EV fleet),2,members,car-sharing,Rue Hoffmann 41201 Genève,Genève,46.21352,6.12836,2498887.7,1118853.8,OSM,,CH*CCI*E21477,CH*CCI*E21477,114.2,1,22.0,medium,yes,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,,Paying publicly accessible,+41800292929,1540.6,1134.6,Genève,120.0,car_sharing_hub,,transit,,,,,,,,,,,,,,,,,,,
28,Mobility Genève Servette,Mobility,Mobility,mixed (EV fleet),4,members,car-sharing,Rue Hoffmann 41201 Genève,Genève,46.2127709,6.1295362,2498977.1,1118769.0,OSM,,CH*CCI*E21477,CH*CCI*E21477,130.7,1,22.0,medium,yes,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,,Paying publicly accessible,+41800292929,1421.8,1022.0,Genève,123.0,car_sharing_hub,,transit,,,,,,,,,,,,,,,,,,,
29,SIG move Station,SIG move,,Type 2 Outlet,1,public,car,Rue Hoffmann 41201 Genève,Carouge,46.213976,6.1297738,2498997.6,1118902.7,OSM,5928307851,CH*CCI*E21477,CH*CCI*E21477,6.1,1,22.0,medium,yes,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,,Paying publicly accessible,+41800292929,1471.6,1053.4,Genève,120.0,street,FALSE,transit,,,,,,,,,,,,,,,,,,,
30,Mobility Carouge Noirettes,Mobility,Mobility,mixed (EV fleet),4,members,car-sharing,,Carouge,46.1874,6.13158,2499087.7,1115946.4,OSM,,,,,,,,,,,,,2448.4,413.6,Lancy-Pont-Rouge,695.5,car_sharing_hub,,transit,,,,,,,,,,,,,,,,,,,
31,evpass,evpass,,Type 2 Outlet,1,public,car,"Rte de Valavran 25, 1293 Bellevue",Bellevue,46.256263,6.134988,2499478.2,1123596.2,Google Places,,CH*ECUEFHTLSL9VCL47MBEV4AEQD7HF6Q,CH*ECUEFHTLSL9VCL47MBEV4AEQD7HF6Q,5.2,1,22.0,medium,yes,NFC RFID Classic;NFC RFID DESFire;REMOTE,Direct,Free publicly accessible,+41415101717,5530.2,3049.9,Chambésy,1486.6,surface_lot,FALSE,errands_mixed,,,,,,,,,,,,,,,,,,,
32,Mobility Hôtel des Finances,Mobility,Mobility,mixed (EV fleet),4,members,car-sharing,Rue du Tir 51204 Genève,Genève,46.2027677,6.1360957,2499464.7,1117648.7,OSM,,1258,CHEVPE35728,20.3,1,3.7,slow,yes,REMOTE,No Payment,Free publicly accessible,+41582219660,896.8,931.3,Genève,324.0,hotel,TRUE,transit,85132,5655FB62-B0C8-42C5-8EB3-A20A32CE5F31,Parking Hotel des Finances,Operational,True,T13 - SEC1011 ( Swiss domestic 3-pin ) - Type J,3,Level 2 : Medium (Over 2kW),3,Public - Pay At Location,,True,False,False,(Business Owner at Location),,étage -2/-3,2017-04-01T09:36:00Z,27.3
33,Shell Recharge,Shell Recharge,,CCS Combo 2 Plug (Cable Attached);CHAdeMO;Type 1 Connector (Cable Attached);Type 2 Outlet,3,public,car,"Quai du Seujet 18, 1201 Genève",Genève,46.20558,6.137196,2499554.8,1117959.9,Google Places,,51726e9c-8eee-11e9-bdb5-42010a840003,CH*SHE*E603*1;CH*SHE*E832*1;CH*SHE*E833*1,0.0,3,22.0,medium,yes,,,Restricted access,+41225445465,696.4,624.4,Genève,233.9,street,FALSE,recreation,,,,,,,,,,,,,,,,,,,
34,Petit-Saconnex Station,,,,,public,car,,Genève,46.2262245,6.139153,2499743.9,1120252.0,OSM,8065863397,,,,,,,,,,,,2204.1,404.1,Genève-Sécheron,261.8,unknown,,transit,,,,,,,,,,,,,,,,,,,
35,Mobility Carouge Sardaigne,Mobility,Mobility,mixed (EV fleet),4,members,car-sharing,,Carouge,46.18404,6.1392,2499669.8,1115563.2,OSM,,,,,,,,,,,,,2609.0,205.6,Lancy-Bachet,468.5,car_sharing_hub,,transit,,,,,,,,,,,,,,,,,,,
36,MOVE,MOVE,,Type 2 Outlet,1,public,car,"Quai Turrettini 1, 1201 Genève",Genève,46.205637,6.140234,2499789.4,1117962.4,Google Places,,CH*CCI*E20290,CH*CCI*E20290,6.9,1,22.0,medium,yes,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,,Paying publicly accessible,+41800292929,469.4,508.2,Genève,233.9,street,FALSE,recreation,,,,,,,,,,,,,,,,,,,
37,Mobility Genève Uni-Mail,Mobility,Mobility,mixed (EV fleet),6,members,car-sharing,Quai Ernest Ansermet Boulevard Carl-Vogt 14 - 1021205 Genève,Genève,46.195341,6.1403369,2499778.4,1116817.8,OSM,,1226,CHEVPE35701,68.2,1,3.7,slow,yes,REMOTE,No Payment,Free publicly accessible,+41582219660,1369.2,981.7,Lancy-Pont-Rouge,323.2,car_sharing_hub,,transit,31477,95D56DB6-5058-4302-A30B-482CDAB88569,Avenue Henri-Dunant,Operational,True,Type 2 (Socket Only),11,Level 2 : Medium (Over 2kW),1,,0.00 jaarabonnement,,,,Essent (NL),http://www.essent.nl/content/particulier/producten/elektrisch_rijden/index.html,,2020-10-23T16:43:00Z,127.5
38,Mobility Genève Les Grottes,Mobility,Mobility,mixed (EV fleet),8,members,car-sharing,,Genève,46.2110411,6.1407637,2499840.2,1118562.3,OSM,,,,,,,,,,,,,604.2,160.1,Genève,183.0,car_sharing_hub,,transit,,,,,,,,,,,,,,,,,,,
39,Mobility Carouge Octroi,Mobility,Mobility,mixed (EV fleet),4,members,car-sharing,,Carouge,46.188,6.14128,2499837.7,1116000.7,OSM,,,,,,,,,,,,,2146.1,640.8,Lancy-Bachet,468.5,car_sharing_hub,,transit,,,,,,,,,,,,,,,,,,,
40,Mobility Genève Plainpalais,Mobility,Mobility,mixed (EV fleet),11,members,car-sharing,Bd Georges-Favon 461204 Genève,Genève,46.19816,6.14136,2499862.5,1117129.8,OSM,,CH*ECUET2SFWFUQZHPDSH346VL2H9UFJX,CH*ECUET2SFWFUQZHPDSH346VL2H9UFJX,52.8,1,3,,yes,NFC RFID Classic;NFC RFID DESFire;REMOTE,Direct,Free publicly accessible,+41415101717,1047.0,1106.4,Rive (tram hub),323.2,car_sharing_hub,,transit,85135,072F7EB4-B245-477F-A3DC-F29351EDBE3E, Parking Plaine de Plainpalais,Operational,True,T13 - SEC1011 ( Swiss domestic 3-pin ) - Type J,3,Level 2 : Medium (Over 2kW),2,Public - Pay At Location,,True,False,False,(Business Owner at Location),,étage -1,2017-04-01T09:35:00Z,46.5
41,Petit-Saconnex Station 2,,,,,public,car,,Genève,46.2265718,6.1425196,2500004.3,1120286.3,OSM,8047388115,,,,,,,,,,,,2180.9,145.9,Genève-Sécheron,261.8,unknown,,transit,,,,,,,,,,,,,,,,,,,
42,MOVE,MOVE,,Type 2 Outlet,1,public,car,"Rue de Montbrillant 38, 1201 Genève",Genève,46.214323,6.142729,2499997.9,1118924.6,Google Places,,CH*CCI*E21280,CH*CCI*E21280,0.0,1,22.0,medium,yes,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,,Paying publicly accessible,+41800292929,853.3,481.1,Cornavin (tram hub),395.0,street,FALSE,residential_substitute,,,,,,,,,,,,,,,,,,,
43,Mobility Genève Cornavin,Mobility,Mobility,mixed (EV fleet),15,members,car-sharing,Rue du Mont-Blanc 301201 Genève,Genève,46.2102513,6.1428501,2499999.8,1118471.9,OSM,,2513,CHEVPE35942,59.5,1,3.7,slow,yes,REMOTE,No Payment,Free publicly accessible,+41582219660,435.8,30.2,Cornavin (tram hub),183.0,car_sharing_hub,,transit,85129,4B4A5510-0136-4931-BF40-00900E16CD55, Parking de Cornavin,Unknown,,T13 - SEC1011 ( Swiss domestic 3-pin ) - Type J,3,Level 2 : Medium (Over 2kW),4,Public - Pay At Location,,True,False,False,(Business Owner at Location),,étage -4,2017-04-01T09:37:00Z,52.6
44,Grand-Saconnex Station,,,,,public,car,,Genève,46.2294365,6.1433131,2500070.8,1120603.7,OSM,8065863396,,,,,,,,,,,,2476.7,347.8,Genève-Sécheron,324.3,unknown,,transit,,,,,,,,,,,,,,,,,,,
45,Badge-only Station,(Unknown Operator),,,2,public,car,,Genève,46.2188535,6.1438498,2500092.7,1119426.8,OSM,4714322462,,,,,,,,,,,,1321.6,840.2,Genève-Sécheron,485.5,unknown,,transit,77394,A2AC602A-B6D4-43A4-8DE7-249DF8D13F26,Parking Vedia,Operational,True,Type 2 (Socket Only),,,1,Public - Membership Required,0.45chf/kwh max 4 h after 2chf/H,False,True,True,(Unknown Operator),,,2017-01-15T00:01:00Z,3.0
46,Shell Recharge,Shell Recharge,,Type 2 Outlet,2,public,car,"Rue de Zurich 19, 1201 Genève",Genève,46.211497,6.147293,2500344.9,1118604.7,Google Places,,deb0b648-41c6-11ea-bfad-42010a840003,CH*SHE*E6893*1;CH*SHE*E6893*2,0.0,2,22.0,medium,yes,,,Restricted access,+41225445465,463.4,369.9,Cornavin (tram hub),275.1,street,FALSE,residential_substitute,,,,,,,,,,,,,,,,,,,
47,Mobility Genève Lombard,Mobility,Mobility,mixed (EV fleet),4,members,car-sharing,Rue Sautter 211205 Genève,Genève,46.19498,6.14918,2500460.3,1116766.4,OSM,,CH*ECUEPYYBMATD3P5T8T6HVV97DUBALW,CH*ECUEPYYBMATD3P5T8T6HVV97DUBALW,51.7,1,22.0,medium,yes,NFC RFID Classic;NFC RFID DESFire;REMOTE,Direct,Free publicly accessible,+41415101717,1360.3,1045.2,Rive (tram hub),520.4,car_sharing_hub,,transit,85134,3C4641E3-7E60-4765-8C95-0BDD69556D26, Parking Lombard,Operational,True,T13 - SEC1011 ( Swiss domestic 3-pin ) - Type J,3,Level 2 : Medium (Over 2kW),2,Public - Pay At Location,,True,False,False,(Business Owner at Location),,étage -2,2017-04-01T09:35:00Z,94.0
48,Tesla Destination Founex,Tesla (Tesla-only charging),Tesla Destination,Type2 11kW,,public,car,,Genève,46.4026102,6.1492361,2500844.5,1139844.5,OSM,9947275139,,,,,14,,,,,,,6661.5,7103.5,Nyon,4265.9,unknown,,unknown,93997,F51F0881-0368-482F-B1BF-F7809FC45E47,Château de Bonmont,Operational,True,Tesla (Model S/X),14,Level 2 : Medium (Over 2kW),2,Public - Membership Required,,False,True,True,Tesla (Tesla-only charging),http://www.teslamotors.com,"2 Tesla Connectors, up to 14kW.Available to the public. Self park.",2018-10-03T17:46:00Z,21.3
