id,name,operator,network,connectors,capacity,access,vehicle_type,address,municipality,lat_wgs84,lon_wgs84,E_LV95,N_LV95,source,osm_node_id,diemo_station_id,diemo_evse_ids,diemo_match_dist_m,diemo_n_evse,power_kw,charge_level,is_24h,auth_method,payment_options,accessibility_type,hotline,distance_to_lake_m,distance_to_transit_m,nearest_transit_name,distance_to_nearest_station_m,location_type,sheltered,dwell_context,ocm_id,ocm_uuid,ocm_title,ocm_status,ocm_is_operational,ocm_connection_types,ocm_max_power_kw,ocm_charging_levels,ocm_n_points,ocm_usage_type,ocm_usage_cost,ocm_is_pay_at_location,ocm_is_membership_required,ocm_is_access_key_required,ocm_operator,ocm_operator_url,ocm_general_comments,ocm_date_last_verified,ocm_match_dist_m
49,Tesla Destination Charger,Tesla,,,,public,car,"Quai du Mont-Blanc 13, 1201 Genève",Genève,46.209606,6.149599,2500519.4,1118391.6,Google Places,,,,,,22,,,,,,,217.1,509.7,Cornavin (tram hub),275.1,street,FALSE,recreation,75008,F493CA00-9BEF-485A-B805-B2CBD87288E6,Hotel Beau-Rivage Genève,Operational,True,Tesla (Model S/X),22,Level 2 : Medium (Over 2kW),1,"Private - For Staff, Visitors or Customers",Free,False,False,False,Tesla (Tesla-only charging),http://www.teslamotors.com,"1 Tesla Connector, up to 22kW.Available for patrons only. Please see valet.",2018-10-03T17:31:00Z,72.9
50,Mobility Genève Pâquis,Mobility,Mobility,mixed (EV fleet),1,members,car-sharing,,Genève,46.21401,6.14981,2500543.7,1118880.8,OSM,,,,,,,,,,,,,689.9,688.0,Cornavin (tram hub),340.0,car_sharing_hub,,transit,,,,,,,,,,,,,,,,,,,
51,Mobility Genève Sécheron,Mobility,Mobility,mixed (EV fleet),2,members,car-sharing,,Genève,46.21983,6.15,2500569.0,1119527.5,OSM,,,,,,,,,,,,,1316.4,848.1,Genève-Sécheron,485.5,car_sharing_hub,,transit,,,,,,,,,,,,,,,,,,,
52,Mobility Genève St-Antoine,Mobility,Mobility,mixed (EV fleet),12,members,car-sharing,,Genève,46.1995462,6.1506627,2500583.1,1117272.1,OSM,,,,,,3,,,,,,,890.8,526.9,Rive (tram hub),520.4,car_sharing_hub,,transit,85136,00086252-84FC-4A54-AFF1-B14A5B0A609B,Parking Saint Antoine,Operational,True,T13 - SEC1011 ( Swiss domestic 3-pin ) - Type J,3,Level 2 : Medium (Over 2kW),6,Public - Pay At Location,,True,False,False,(Business Owner at Location),,étage -6,2017-04-25T16:34:00Z,18.3
53,Genthod Station,MOVE,,Type 2 Outlet,2,public,car,"Chem. des Aiglons 8, 1293 Bellevue",Genève,46.2543743,6.1541295,2500950.6,1123361.8,Google Places + OSM,8829191617,CH*CCI*E22300,CH*CCI*E22300,70.6,1,22.0,medium,yes,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,,Paying publicly accessible,+41800292929,4931.5,2381.1,Chambésy,81.9,surface_lot,FALSE,transit,,,,,,,,,,,,,,,,,,,
54,Soraco Station Genthod,Soraco,,Type 2 Outlet,10,public,car,Chemin Des Aiglons 81293 Bellevue,Genève,46.2550809,6.1544281,2500974.9,1123440.0,OSM,10201888436,CH*CCI*E22300,CH*CCI*E22300,127.8,1,22.0,medium,yes,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,,Paying publicly accessible,+41800292929,4947.3,2458.3,Chambésy,81.9,street,FALSE,transit,,,,,,,,,,,,,,,,,,,
55,evpass Begnins,Shell Recharge,evpass,Type1 7kW+Type2 22kW,2,public,car,Place Sy-Vieuxville 21264 Saiint-Cergue,Genève,46.4466426,6.1567849,2501505.0,1144729.1,OSM,9071642236,515e7cb6-8eee-11e9-8692-42010a840003,CH*SHE*E752*2;CH*SHE*E752*1,0.8,2,22.0,medium,yes,,,Restricted access,+41225445465,9098.0,9127.4,Nyon,4656.9,street,FALSE,recreation,,,,,,,,,,,,,,,,,,,
56,eCarUp,eCarUp,,CCS Combo 2 Plug (Cable Attached),1,public,car,"Chem. Industriel 1, 1279 Chavannes-de-Bogis",Chavannes-de-Bogis,46.335182,6.158302,2501419.1,1132338.4,Google Places,,CH*ECUEW6JKN6PQKDWETSZBTFSXKLB5N2,CH*ECUEW6JKN6PQKDWETSZBTFSXKLB5N2,11.7,1,300.0,ultra-fast,yes,NFC RFID Classic;NFC RFID DESFire;REMOTE,Direct,Free publicly accessible,+41415101717,2613.9,3321.6,Coppet,251.9,surface_lot,FALSE,errands_mixed,,,,,,,,,,,,,,,,,,,
57,Mobility Genève Villereuse,Mobility,Mobility,mixed (EV fleet),10,members,car-sharing,Carr de Villereuse 2A1207 Genève,Genève,46.20023,6.15887,2501217.8,1117337.7,OSM,,CH*ECUEVXTNQ3Y9QX27E2F6853NTEH23Z,CH*ECUEVXTNQ3Y9QX27E2F6853NTEH23Z,28.1,1,22.0,medium,yes,NFC RFID Classic;NFC RFID DESFire;REMOTE,Direct,Free publicly accessible,+41415101717,962.9,616.3,Rive (tram hub),15.2,car_sharing_hub,,transit,,,,,,,,,,,,,,,,,,,
58,Shell Recharge,Shell Recharge,,Type 2 Outlet,1,public,car,"Carr de Villereuse 2A, 1207 Genève",Genève,46.200356,6.158948,2501224.0,1117351.6,Google Places,,CH*ECUEVXTNQ3Y9QX27E2F6853NTEH23Z,CH*ECUEVXTNQ3Y9QX27E2F6853NTEH23Z,18.9,1,22.0,medium,yes,NFC RFID Classic;NFC RFID DESFire;REMOTE,Direct,Free publicly accessible,+41415101717,950.4,611.3,Rive (tram hub),15.2,surface_lot,FALSE,errands_mixed,,,,,,,,,,,,,,,,,,,
59,Mobility Cité Universitaire,Mobility,Mobility,mixed (EV fleet),1,members,car-sharing,,Genève,46.1869782,6.15938,2501233.1,1115864.1,OSM,,,,,,,,,,,,,2408.2,1775.1,Carouge-Bachet (CEVA),1186.6,car_sharing_hub,,transit,,,,,,,,,,,,,,,,,,,
60,Versoix Station 3,MOVE,,Type 2 Outlet,1,public,car,"Parking Colombières, 1290 Versoix",Genève,46.2801157,6.1610066,2501527.5,1126214.3,Google Places + OSM,9321025639,CH*CCI*E20691,CH*CCI*E20691,4.0,1,22.0,medium,yes,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,,Paying publicly accessible,+41800292929,3603.1,4738.8,Coppet,2.4,underground_parking,TRUE,transit,,,,,,,,,,,,,,,,,,,
61,Versoix Station 2,MOVE,,Type 2 Outlet,1,public,car,Parking Colombières1290 Versoix,Genève,46.2801046,6.1610341,2501529.6,1126213.1,OSM,9321025640,CH*CCI*E20691,CH*CCI*E20691,6.4,1,22.0,medium,yes,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,,Paying publicly accessible,+41800292929,3601.5,4738.7,Coppet,2.4,underground_parking,TRUE,transit,,,,,,,,,,,,,,,,,,,
62,Versoix Station 1,MOVE,,Type 2 Outlet,1,public,car,Parking Colombières1290 Versoix,Genève,46.2800948,6.1610623,2501531.7,1126211.9,OSM,9321025641,CH*CCI*E20691,CH*CCI*E20691,8.8,1,22.0,medium,yes,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,,Paying publicly accessible,+41800292929,3599.9,4738.6,Coppet,2.4,underground_parking,TRUE,transit,,,,,,,,,,,,,,,,,,,
63,MOVE,MOVE,,CCS Combo 2 Plug (Cable Attached),1,public,car,"Les Champs-Blancs, 1279 Chavannes-de-Bogis",Chavannes-de-Bogis,46.33473,6.161517,2501665.8,1132284.1,Google Places,,CH*CCC*E50265,CH*CCC*E50265,0.0,1,150.0,ultra-fast,yes,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,,Paying publicly accessible,+41800292929,2362.3,3098.1,Coppet,251.9,surface_lot,FALSE,errands_mixed,175725,DA5E2676-320D-4DAE-B8C6-0F688FDC8BF2,Les Champs-Blancs - Chavannes-de-Bogis,Operational,True,CCS (Type 2); Type 2 (Tethered Connector) ,150,Level 2 : Medium (Over 2kW); Level 3:  High (Over 40kW),2,Public,,,,,MOVE (CH),https://www.move.ch,,2021-06-09T22:29:00Z,11.2
64,Aldi Charging Versoix,EvPass/Aldi,evpass,Type 1 Connector (Cable Attached);Type 2 Outlet,2,customers,car,"Aldi Versoix, Route de Saint-Loup 21290 Versoix",Genève,46.2792796,6.1649214,2501827.7,1126116.5,OSM,8126961311,1890052a-0a13-11eb-a10c-42010a840003,CH*SHE*E834*1;CH*SHE*E836*1,4.8,2,22.0,medium,yes,,,Restricted access,+41225445465,3352.2,4675.8,Coppet,151.2,commercial_retail,TRUE,shopping,,,,,,,,,,,,,,,,,,,
65,MOVE,MOVE,,Type 2 Outlet,1,public,car,"Chem. Jean-Baptiste Vandelle, 1290 Versoix",Versoix,46.280255,6.166292,2501935.1,1126223.2,Google Places,,CH*CCI*E21066,CH*CCI*E21066,1.7,1,22.0,medium,yes,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,,Paying publicly accessible,+41800292929,3215.9,4531.7,Coppet,151.2,surface_lot,FALSE,errands_mixed,,,,,,,,,,,,,,,,,,,
66,Shell Recharge,Shell Recharge,,CCS Combo 2 Plug (Cable Attached);CHAdeMO;Type 2 Outlet,5,public,car,"Av. de la Gare des Eaux-Vives 11, 1207 Genève",Genève,46.20097,6.166374,2501798.3,1117410.5,Google Places,,08b9e2de-2fe6-11ec-8454-42010a840003,CH*SHE*E500*1;CH*SHE*E6833*3;CH*SHE*E6833*2;CH*SHE*E6833*4;CH*SHE*E6833*1,0.0,5,22.0,medium,yes,,,Restricted access,+41225445465,1004.8,1083.0,Rive (tram hub),575.6,unknown,,transit,,,,,,,,,,,,,,,,,,,
67,Shell Recharge,Shell Recharge,,CCS Combo 2 Plug (Cable Attached),4,public,car,"Rte de Suisse 3, 1295 Mies",Mies,46.296091,6.167126,2502027.9,1127982.3,Google Places,,730f7ca0-6351-11f0-9c07-42010aa400b8,CH*SHE*E13654*1;CH*SHE*E13654*2;CH*SHE*E13655*1;CH*SHE*E13655*2,23.6,4,300.0,ultra-fast,yes,,,Restricted access,+41225445465,2410.7,3011.9,Coppet,1762.0,unknown,,unknown,,,,,,,,,,,,,,,,,,,
68,MOVE,MOVE,,Type 2 Outlet,1,public,car,"Chem. Vy des Mores 6, 1291 Commugny",Commugny,46.317288,6.176037,2502752.4,1130327.3,Google Places,,CH*CCI*E21985,CH*CCI*E21985,4.0,1,22.0,medium,yes,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,,Paying publicly accessible,+41800292929,999.7,1257.8,Coppet,1263.7,surface_lot,FALSE,errands_mixed,,,,,,,,,,,,,,,,,,,
69,GreenMotion,GreenMotion,,CCS Combo 2 Plug (Cable Attached),1,public,car,"Pl. Pierre-Gautier, 1223 Cologny",Cologny,46.216295,6.180602,2502923.7,1119096.2,Google Places,,CH*CCI*E22359,CH*CCI*E22359,2.1,1,50.0,fast,yes,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,,Paying publicly accessible,+41800292929,260.2,2300.1,Chêne-Bourg (CEVA),1138.3,surface_lot,FALSE,errands_mixed,,,,,,,,,,,,,,,,,,,
70,Green Motion,GreenMotion,,Type 2 Outlet,1,public,car,"Chem. de la Tulette 8, 1223 Cologny",Cologny,46.206442,6.184615,2503215.8,1117996.0,Google Places,,CH*CCI*E22348,CH*CCI*E22348,42.4,1,22.0,medium,yes,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,,Paying publicly accessible,+41800292929,862.4,1262.2,Chêne-Bourg (CEVA),1138.3,surface_lot,FALSE,errands_mixed,,,,,,,,,,,,,,,,,,,
71,Evpass,evpass,,Type 2 Outlet,1,public,car,"Rte de Suisse 81, 1296 Coppet",Coppet,46.315357,6.192252,2503997.8,1130092.7,Google Places,,CH*ECUESB5K6S2F53ZGQMU58FKAQ965CX,CH*ECUESB5K6S2F53ZGQMU58FKAQ965CX,7.8,1,22.0,medium,yes,NFC RFID Classic;NFC RFID DESFire;REMOTE,Direct,Free publicly accessible,+41415101717,168.3,160.9,Coppet,1263.7,surface_lot,FALSE,errands_mixed,,,,,,,,,,,,,,,,,,,
72,Cologny Station,MOVE,,Type 2 Outlet,1,public,car,Chemin de Marcelly1226 Thônex,Cologny,46.195451,6.2042246,2504709.9,1116750.3,OSM,11316356369,CH*CCI*E21133,CH*CCI*E21133,2.7,1,22.0,medium,yes,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,,Paying publicly accessible,+41800292929,2619.9,681.9,Chêne-Bourg (CEVA),1942.0,street,FALSE,transit,,,,,,,,,,,,,,,,,,,
73,evpass Prangins Fast,Shell Recharge,evpass,CHAdeMO 50kW+Type2 22kW+CCS 50kW,2,public,car,Route Blanche 11274 Signy,Cologny,46.3990976,6.2046342,2505098.1,1139385.4,OSM,9071423163,2b8e7e94-41c0-11e9-9729-42010a840003,CH*SHE*E598*1;CH*SHE*E598*2,12.4,2,160.0,ultra-fast,yes,,,Restricted access,+41225445465,2948.3,2952.8,Nyon,309.5,street,FALSE,residential_substitute,82391,8C53F0FD-4086-40CC-9144-15BCD760D42A,Avia Auto Service in Signy,Operational,True,CCS (Type 2); CHAdeMO; Type 2 (Tethered Connector) ,50,Level 2 : Medium (Over 2kW); Level 3:  High (Over 40kW),1,Public,CHF 1.50+0.50/kWh;  Andere Tarife möglich/Autres tarifs possibles,,,,EVPass (CH),https://www.evpass.ch/,2 Free parking,2017-02-04T09:40:00Z,73.1
74,evpass Station Prangins,eCarUp,evpass,Type1 3.7kW+Type2 11kW,1,public,car,En Fléchère 11274 Signy-Avenex,Cologny,46.3968728,6.2070585,2505280.6,1139135.2,OSM,9071521063,CH*ECUEMVMSBRSP59YFW9NF7RK2Y893YA,CH*ECUEMVMSBRSP59YFW9NF7RK2Y893YA,1.7,1,11.0,medium,yes,NFC RFID Classic;NFC RFID DESFire;REMOTE,Direct,Free publicly accessible,+41415101717,2649.4,2680.7,Nyon,309.5,surface_lot,FALSE,transit,,,,,,,,,,,,,,,,,,,
75,evpass Rolle 2,Shell Recharge,evpass,Type1 7kW+Type2 22kW,1,public,car,"Clinique Genolier, Parking Restaurant, Route1272 Genolier",Nyon,46.4451311,6.2175267,2506169.3,1144486.6,OSM,9071642262,51033982-8eee-11e9-9aef-42010a840003,CH*SHE*E3563*1;CH*SHE*E3593*1,6.5,2,22.0,medium,yes,,,Restricted access,+41225445465,5530.3,5108.1,Gland,2317.4,underground_parking,TRUE,dining,,,,,,,,,,,,,,,,,,,
76,Emil Frey SA Nyon,Emil Frey,,Type 2 Outlet,1,public,car,Route de Champ-Colin 11260 Nyon,Nyon,46.3847661,6.2182331,2506119.0,1137776.1,OSM,4910464049,CH*ECUE9HLL9H7DV4ZEVGL8K3EX87HF4Z,CH*ECUE9HLL9H7DV4ZEVGL8K3EX87HF4Z,52.2,1,11.0,medium,yes,NFC RFID Classic;NFC RFID DESFire;REMOTE,Direct,Free publicly accessible,+41415101717,1171.6,1634.6,Nyon,372.0,street,FALSE,residential_substitute,,,,,,,,,,,,,,,,,,,
77,ChargePoint,ChargePoint,,Type 2 Outlet,6,public,car,"Rte de Saint-Cergue 293, 1260 Nyon",Nyon,46.400602,6.218265,2506148.9,1139536.2,Google Places,,7f2a7640-62d2-11eb-babd-42010a840003,CHCPIE6480755*2;CHCPIE6480755*1;CHCPIE6449915*1;CHCPIE6449915*2;CHCPIE7087685*1;CHCPIE7087685*2,23.5,6,22.0,medium,yes,,,Restricted access,+00000,2224.1,2175.5,Nyon,954.2,unknown,,unknown,,,,,,,,,,,,,,,,,,,
78,GOFAST Nyon,GOFAST,Swisscharge,CHAdeMO 60kW+Type2 22kW+CCS 150kW,2,public,car,"Chem. de la Fontaine 10, 1260 Nyon",Nyon,46.3879175,6.2198593,2506249.5,1138124.4,Google Places + OSM,9919143875,80ae5b9c-41c0-11e9-aa48-42010a840003,CH*GFT*E*Bernard*1;CH*GFT*E*Bernard*2;CH*GFT*E*Josiane*1;CH*GFT*E*Josiane*2;CH*GFT*E*Josiane*3,6.6,5,300.0,ultra-fast,yes,,Contract;Direct,Restricted access,+41800463111,1268.0,1484.5,Nyon,372.0,unknown,,unknown,,,,,,,,,,,,,,,,,,,
79,Gare CFF Nyon,,,scooter,,public,car,,Nyon,46.3839487,6.2346857,2507383.1,1137665.6,OSM,4910464050,,,,,,,,,,,,91.4,516.9,Nyon,179.5,unknown,,transit,,,,,,,,,,,,,,,,,,,
80,eCarUp,eCarUp,,Type 2 Outlet,1,public,car,"Rte de Saint-Cergue 9, 1260 Nyon",Nyon,46.385289,6.235991,2507485.8,1137813.1,Google Places,,CH*ECUE4AB6SWGDFRQCSK3MFGKYRBNKP2,CH*ECUE4AB6SWGDFRQCSK3MFGKYRBNKP2,0.0,1,11.0,medium,yes,NFC RFID Classic;NFC RFID DESFire;REMOTE,Direct,Free publicly accessible,+41415101717,103.7,340.1,Nyon,179.5,surface_lot,FALSE,errands_mixed,,,,,,,,,,,,,,,,,,,
81,MOVE Station Nyon,MOVE,Move,Type2 22kW,2,public,car,Route de Duillier 61260 Nyon,Nyon,46.3945688,6.2368466,2507567.5,1138843.5,OSM,9071549221,CH*CCI*EBB*2835*2,CH*CCI*EBB*2835*2,41.2,1,22.0,medium,yes,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,,Paying publicly accessible,+41800292929,685.4,817.3,Nyon,1034.0,street,FALSE,transit,31480,2192A2CB-7626-413F-9AB2-FFC4A7780F97,Route de Duillier 18,Operational,True,Type 2 (Socket Only),11,Level 2 : Medium (Over 2kW),1,,0.00 jaarabonnement,,,,Essent (NL),http://www.essent.nl/content/particulier/producten/elektrisch_rijden/index.html,,2016-06-04T02:37:00Z,41.2
82,Petit Perdtemps Nyon,eCarUp,,Type 2 Outlet,2,public,car,Pl. Perdtemps 11260 Nyon,Nyon,46.383613,6.2396122,2507761.5,1137622.5,OSM,4910464051,CH*ECUEZMS4PFK8HYHXHBTSEC3H7R4B2X,CH*ECUEZMS4PFK8HYHXHBTSEC3H7R4B2X,0.1,1,11.0,medium,yes,NFC RFID Classic;NFC RFID DESFire;REMOTE,Direct,Free publicly accessible,+41415101717,230.4,422.3,Nyon,327.3,surface_lot,FALSE,errands_mixed,86107,DB05392B-62D1-4D1D-8DAD-9502A7D439D5,Parking Petit Perdtemps,Operational,True,Type 1 (J1772); Type 2 (Tethered Connector) ,22,Level 2 : Medium (Over 2kW),2,Public - Membership Required,CHF 0.25/kWh + CHF 0.50 costi fissi,False,True,True,EVPass (CH),https://www.evpass.ch/,,2017-04-25T18:43:00Z,4.8
83,Débarcadère CGN Nyon,,,scooter,,public,car,,Nyon,46.3820674,6.243273,2508040.5,1137446.4,OSM,4910464048,,,,,,,,,,,,557.9,670.2,Nyon,153.0,unknown,,unknown,,,,,,,,,,,,,,,,,,,
84,Rive Nyon,eCarUp,,Type 2 Outlet,2,public,car,Rue de Rive 131260 Nyon,Nyon,46.3833815,6.2438655,2508088.3,1137591.8,OSM,4910464052,CH*ECUEVUU88TTMX9NF9EZ7K5H7ECCMCS,CH*ECUEVUU88TTMX9NF9EZ7K5H7ECCMCS,1.5,1,11.0,medium,yes,NFC RFID Classic;NFC RFID DESFire;REMOTE,Direct,Free publicly accessible,+41415101717,504.2,572.5,Nyon,145.4,street,FALSE,residential_substitute,,,,,,,,,,,,,,,,,,,
85,evpass,evpass,,Type 2 Outlet,1,public,car,1260 Nyon,Nyon,46.38412,6.24543,2508209.9,1137672.0,Google Places,,CH*ECUEDBUV8RNDVV594JRNBWTB9ZLJP2,CH*ECUEDBUV8RNDVV594JRNBWTB9ZLJP2,0.7,1,11.0,medium,yes,NFC RFID Classic;NFC RFID DESFire;REMOTE,Direct,Free publicly accessible,+41415101717,548.7,601.1,Nyon,145.4,surface_lot,FALSE,errands_mixed,,,,,,,,,,,,,,,,,,,
86,evpass Rolle,eCarUp,evpass,Type1 7.4kW+Type2 22kW,2,public,car,Rte de Saint-Cergue 121268 Begnins,Nyon,46.4407207,6.2470862,2508433.0,1143961.4,OSM,9947309266,CH*ECUE9KCYSGEJ9YUWJSJ8J8WQ7Y22MW,CH*ECUE9KCYSGEJ9YUWJSJ8J8WQ7Y22MW,11.0,1,22.0,medium,yes,NFC RFID Classic;NFC RFID DESFire;REMOTE,Direct,Free publicly accessible,+41415101717,3800.9,3143.7,Gland,1794.6,surface_lot,FALSE,errands_mixed,,,,,,,,,,,,,,,,,,,
87,evpass Gland,,evpass,Type1 7.4kW+Type2 22kW,1,public,car,,Gland,46.4255104,6.2549168,2509009.1,1142261.6,OSM,9947336122,,,,,,,,,,,,2077.4,1507.9,Gland,434.6,unknown,,unknown,,,,,,,,,,,,,,,,,,,
88,Electra,Electra,,CCS Combo 2 Plug (Cable Attached),4,public,car,"Rue des Tuillières 1, 1196 Gland",Gland,46.422375,6.258301,2509264.0,1141909.2,Google Places,,bbf2e7d6-bf82-11ef-833d-42010aa400b8,CH*ELC*EBZ9Y;CH*ELC*EKNHD;CH*ELC*EMJTK;CH*ELC*ESMX2,21.1,4,300,,no,,,Restricted access,+41435083555,1642.3,1105.1,Gland,434.6,street,FALSE,residential_substitute,461803,4DBF9C63-A636-4BFB-82E9-39C54E4E3906,Backstage,Operational,True,CCS (Type 2),300,Level 2 : Medium (Over 2kW); Level 3:  High (Over 40kW),4,Public,,,,,Electra,https://www.go-electra.com,,2025-10-05T18:27:00Z,5.3
89,GOFAST Gland,GOFAST,,CHAdeMO+CCS 300kW,8,public,car,"Av. du Mont-Blanc 38, 1196 Gland",Gland,46.414539,6.2733078,2510404.6,1141020.9,Google Places + OSM,13563091210,b486b926-9d46-11f0-bb81-42010aa40fd6,CH*GFT*E*Alexandre*1;CH*GFT*E*Alexandre*2;CH*GFT*E*Jacqueline*1;CH*GFT*E*Jacqueline*2;CH*GFT*E*Romain*1;CH*GFT*E*Romain*2;CH*GFT*E*Virginie*1;CH*GFT*E*Virginie*2;CH*GFT*E*Virginie*3,6.2,9,300.0,ultra-fast,yes,,,Restricted access,+41800463111,260.0,400.2,Gland,327.0,unknown,,unknown,,,,,,,,,,,,,,,,,,,
90,Migrol,Migrol,,Type 2 Outlet,1,public,car,"Rue Mauverney 22, 1196 Gland",Gland,46.416936,6.27578,2510598.6,1141284.5,Google Places,,CH*MIG*P*1088,CH*MIG*E*248173,0.1,1,22.0,medium,no,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,Contract,Paying publicly accessible,+41444951616,364.6,371.4,Gland,284.7,street,FALSE,residential_substitute,,,,,,,,,,,,,,,,,,,
91,MOVE,MOVE,,Type 2 Outlet,1,public,car,"Rte Suisse 35, 1196 Gland",Gland,46.41594,6.279201,2510859.9,1141169.9,Google Places,,CH*CCI*E22472,CH*CCI*E22472,0.1,1,22.0,medium,yes,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,,Paying publicly accessible,+41800292929,120.7,654.5,Gland,284.7,surface_lot,FALSE,errands_mixed,,,,,,,,,,,,,,,,,,,
92,Shell Recharge,Shell Recharge,,CCS Combo 2 Plug (Cable Attached),2,public,car,"Rte Suisse, 1196 Gland",Gland,46.418986,6.283598,2511203.0,1141503.5,Google Places,,288809d8-b30f-11ef-9730-42010aa400b8,CH*SHE*E9623*1;CH*SHE*E9653*1,0.6,2,66.0,ultra-fast,no,,,Restricted access,+41225445465,197.1,967.1,Gland,477.8,unknown,,unknown,,,,,,,,,,,,,,,,,,,
93,Move Station Aubonne,MOVE,Move,CCS Combo 2 Plug (Cable Attached),2,public,car,SOCAR La Cote/A1 Sud1183 Bursins,Aubonne,46.4448699,6.2975161,2512314.8,1144364.9,OSM,6552846030,CH*CCC*EBS*1183*3,CH*CCC*EBS*1183*3,7.5,1,50.0,fast,yes,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,,Paying publicly accessible,+41800292929,1902.4,3248.8,Rolle,186.8,highway_rest,FALSE,transit,73050,CE1F934C-FF3D-408A-9812-B1E37FA5C145,Evite a Bursins,Operational,True,CCS (Type 2); CHAdeMO; Type 2 (Socket Only),50,Level 3:  High (Over 40kW),1,Public,,,,,EVite (ch),http://www.swiss-emobility.ch/home/evite.html,2 free parking,2016-11-05T11:16:00Z,63.6
94,Fast Charger Aubonne,MOVE,,CHAdeMO+Type2,6,public,car,La Côte/A1 nord1183 Bursins,Aubonne,46.4465479,6.2976393,2512327.0,1144551.3,OSM,12587425308,CH*CCC*E50084,CH*CCC*E50084,5.2,1,224.0,ultra-fast,yes,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,,Paying publicly accessible,+41800292929,2048.0,3160.7,Rolle,186.8,highway_rest,FALSE,highway_stop,,,,,,,,,,,,,,,,,,,
95,evpass,evpass,,,,public,car,"Z. A. La Pièce 9, 1180 Rolle",Rolle,46.461568,6.324502,2514414.7,1146191.1,Google Places,,,,,,,,,,,,,2003.7,924.3,Rolle,1003.6,unknown,,unknown,,,,,,,,,,,,,,,,,,,
96,evpass,evpass,,CCS Combo 2 Plug (Cable Attached),2,public,car,"Prom. Grandes-Buttes 16, 1180 Rolle",Rolle,46.461343,6.3376,2515420.4,1146151.9,Google Places,,CH*MIG*P*1809,CH*MIG*E*248942;CH*MIG*E*248943,15.1,2,50.0,fast,no,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,Contract,Free publicly accessible,+41444951616,1360.5,408.1,Rolle,22.0,surface_lot,FALSE,errands_mixed,,,,,,,,,,,,,,,,,,,
