Station,Nom_Station,E_CH1903,N_CH1903,lon_wgs84,lat_wgs84,Zone_Lac,Profondeur_Max_m,Annee,Mois,Parametre,Valeur,Unite,Profondeur_Echantillon_m,Groupe_Taxonomique,Statut_Trophique,Indice_Qualite,Notes
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Annee,Biomasse_Phytoplancton_Totale,1006,µg/L,0-18,Mixed,Oligomesotrophe,NA,"Station reference CIPEL - point le plus profond"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Annee,Chlorophylle_a_Moyenne,4.0,µg/L,0-30,NA,Oligomesotrophe,NA,"Stable depuis 2018 autour 4 µg/L"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Janvier,Biomasse_Phytoplancton,167,µg/L,0-18,Diatomees_centriques,NA,NA,"Dominance Cyclotella costei - milieux brasses oligotrophes"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Fevrier,Biomasse_Phytoplancton,685,µg/L,0-18,Diatomees_centriques,NA,NA,"Croissance printaniere - Cyclotella + Plagioselmis"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Fevrier,Chlorophylle_a_Max,12.5,µg/L,NA,NA,NA,NA,"Pic croissance printaniere"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Fevrier,Production_Primaire_Max,11.7,µgC/L/h,NA,NA,NA,NA,"Premier pic production primaire"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Fevrier,Transparence_Secchi,4.65,m,NA,NA,NA,NA,"Baisse transparence = croissance algale"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Mars,Biomasse_Phytoplancton,523,µg/L,0-18,Diatomees_pennees,NA,NA,"Fragilaria crotonensis domine"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Avril,Biomasse_Phytoplancton,1176,µg/L,0-18,Diatomees_pennees,NA,NA,"Pic Fragilaria crotonensis - masses eau stratifiees"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Mai,Biomasse_Phytoplancton,892,µg/L,0-18,Diatomees_pennees,NA,NA,"Transition vers phase estivale"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Mai,Chlorophylle_a_Max,6.77,µg/L,NA,NA,NA,NA,"Pic printanier chlorophylle"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Juin,Biomasse_Phytoplancton,1458,µg/L,0-18,Chrysophycees,Oligotrophe,NA,"Dominance Dinobryon sp. - indicateurs oligotrophie"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Juillet,Biomasse_Phytoplancton,2831,µg/L,0-18,Diatomees_pennees,NA,NA,"Pic annuel - crue historique Rhone 30 juin 2024"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Juillet,Biomasse_Phytoplancton,NA,µg/L,0-18,Mixed,NA,NA,"Fragilaria crotonensis + Ulnaria acus (tolerante crues)"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Aout,Biomasse_Phytoplancton,1245,µg/L,0-18,Diatomees_benthiques,NA,NA,"Achnanthidium catenatum + Cyclotella costei"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Aout,Production_Primaire_Max,9.4,µgC/L/h,NA,NA,NA,NA,"Production estivale elevee"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Septembre,Biomasse_Phytoplancton,1587,µg/L,0-18,Diatomees_benthiques,NA,NA,"Taxons tolerants crues dominent"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Septembre,Chlorophylle_a_Max,13.8,µg/L,7.5,NA,NA,NA,"Pic annuel chlorophylle a 7.5m profondeur"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Octobre,Biomasse_Phytoplancton,1023,µg/L,0-18,Dinophycees,NA,NA,"Pic Ceratium hirundinella - epilimnion stratifie"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Octobre,Production_Primaire_Max,9.92,µgC/L/h,3.5,NA,NA,NA,"Pic automnal production primaire"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Novembre,Biomasse_Phytoplancton,385,µg/L,0-18,Diatomees_centriques,NA,NA,"Retour Cyclotella costei + Cryptophycees"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Novembre,Chlorophylle_a_Moyenne,2.0,µg/L,0-20,NA,NA,NA,"Baisse biomasse hivernale"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Novembre,Production_Primaire_Moyenne,2.19,µgC/L/h,0-20,NA,NA,NA,"Faible production hivernale"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Decembre,Biomasse_Phytoplancton,298,µg/L,0-18,Mixed_petites_especes,NA,NA,"Plagioselmis spp. (Cryptophycees) - milieux brasses faible luminosite"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Annee,Indice_Brettum,4.25,score,NA,NA,Bon_etat,4.0,"Valeur la plus elevee chronique - objectif CIPEL=4.0 - reference=4.62"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Annee,Indice_Shannon,2.3,score,NA,NA,NA,NA,"Diversite elevee - annees recentes presentent diversites plus elevees"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Annee,Groupe_Fonctionnel_Lm,NA,µg/L,NA,NA,Eutrophe,NA,"Relictuel - regression continue depuis 1975"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Annee,Groupe_Fonctionnel_E,NA,µg/L,NA,NA,Oligotrophe,NA,"Stable depuis 10 ans - indicateur re-oligotrophisation"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Annee,Groupe_Fonctionnel_D,175,µg/L,NA,NA,Crues,NA,"Plus forte biomasse chronique - taxons tolerants crues (Ulnaria acus)"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Annee,Proportion_Microphyto,70,Pct,0-18,NA,NA,NA,"Domine 15/20 echantillons - fin mars a mi-juillet 86%"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Annee,Proportion_Nanophyto,25,Pct,0-18,NA,NA,NA,"Preferentiellement broute par zooplancton"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Annee,Proportion_Picophyto,5,Pct,0-18,NA,NA,NA,"8.8% moyenne 2014-2024 - indicateur oligotrophisation"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Annee,Picocyanobacteries,NA,cellules/mL,2.5-50,Synechococcus,Oligomesotrophe,NA,"Suivi depuis 2014 - indicateur fonctionnel statut trophique"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Mars-Mai,Chlorophylle_a_Moyenne,2.35,µg/L,0-20,NA,NA,NA,"Plus basse depuis 2016"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Mars-Mai,Production_Primaire_Moyenne,2.12,µgC/L/h,0-20,NA,NA,NA,"2eme plus basse valeur (apres 2019: 1.18)"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Juin-Aout,Chlorophylle_a_Moyenne,3.81,µg/L,0-20,NA,NA,NA,"Inferieure a 2022-2023"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Juin-Aout,Production_Primaire_Moyenne,3.41,µgC/L/h,0-20,NA,NA,NA,"Augmentation legere vs annees precedentes"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Sept-Nov,Chlorophylle_a_Moyenne,3.19,µg/L,0-20,NA,NA,NA,"Plus basse que 2021-2023"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2024,Sept-Nov,Production_Primaire_Moyenne,2.64,µgC/L/h,0-20,NA,NA,NA,"Legere baisse vs annees precedentes"
GE3,Petit Lac Geneve,500500,130000,6.1436,46.2819,Petit_Lac,75,2024,NA,Contexte_Surveillance,NA,NA,NA,NA,Oligomesotrophe,NA,"Station secondaire - suivi tous les 6 ans par Service ecologie eau Geneve"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,1974-1980,NA,Indice_Brettum,2.5,score,NA,NA,Eutrophe_Mauvais,NA,"Periode eutrophisation historique"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,1975,NA,Biomasse_Annuelle_Moyenne,2800,µg/L,0-30,NA,Eutrophe,NA,"Pic eutrophisation - dominance groupe Lm"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,1990,NA,Chlorophylle_a_Moyenne,6.5,µg/L,0-30,NA,Mesotrophe,NA,"Periode amelioration qualite eaux"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2000,NA,Biomasse_Annuelle_Moyenne,1800,µg/L,0-30,NA,Oligomesotrophe,NA,"Tendance re-oligotrophisation"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2010,NA,Indice_Shannon,2.6,score,NA,NA,NA,NA,"Plus haute diversite chronique"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2015-2024,NA,Chlorophylle_a_Moyenne,4.0,µg/L,0-30,NA,Oligomesotrophe,NA,"Stabilisation moyenne 10 ans"
SHL2,Grand Lac Centre,545000,145000,6.5889,46.4525,Grand_Lac,309,2015-2024,NA,Production_Primaire_Moyenne,3.2,µgC/L/h,0-20,NA,Oligomesotrophe,NA,"Moyenne decennale production"
Rhone_Embouchure,Embouchure Rhone,551000,143500,6.6833,46.4333,Grand_Lac_Est,NA,2024,Juillet,Evenement_Crue,Historique,NA,NA,NA,NA,NA,"Crue 30 juin 2024 - impact fort phytoplancton (apport taxons benthiques)"
Rhone_Embouchure,Embouchure Rhone,551000,143500,6.6833,46.4333,Grand_Lac_Est,NA,2024,Juillet,Apport_Taxons_Benthiques,Eleve,NA,NA,Diatomees_benthiques,NA,NA,"Ulnaria acus + Achnanthidium augmentent post-crue"
Rhone_Embouchure,Embouchure Rhone,551000,143500,6.6833,46.4333,Grand_Lac_Est,NA,2024,NA,Flux_Sediments,Eleve,NA,NA,NA,NA,NA,"Apports dilution biomasse phytoplancton zone est"
Dranse_Embouchure,Embouchure Dranse,548500,148000,6.6200,46.4892,Grand_Lac_Sud,NA,2024,NA,Apport_Crues,Modere,NA,NA,NA,NA,NA,"Affluent secondaire apportant taxons benthiques lors crues"
Arc_Lemanique,Villeneuve-Geneve,520000-500000,137000-130000,6.3-6.1,46.35-46.28,Gradient_Longitudinal,NA,2024,NA,Gradient_Trophique,Oligomesotrophe,NA,NA,NA,NA,NA,"Petit Lac plus eutrophe que Grand Lac"
Arc_Lemanique,Villeneuve-Geneve,520000-500000,137000-130000,6.3-6.1,46.35-46.28,Gradient_Longitudinal,NA,2024,NA,Gradient_Transparence,Positif,NA,NA,NA,NA,NA,"Augmente vers est (dilution Rhone)"
CIPEL_Objectif,Objectif CIPEL,NA,NA,NA,NA,Leman_Global,NA,2024,NA,Biomasse_Phytoplancton_Objectif,1000,µg/L,NA,NA,NA,NA,"Objectif a ne pas depasser - 2024: 1006 µg/L (legerement depasse)"
CIPEL_Objectif,Objectif CIPEL,NA,NA,NA,NA,Leman_Global,NA,2024,NA,Indice_Brettum_Objectif,4.0,score,NA,NA,Bon_etat_minimum,NA,"Objectif atteint en 2024 (4.25)"
CIPEL_Objectif,Objectif CIPEL,NA,NA,NA,NA,Leman_Global,NA,2024,NA,Valeur_Reference_Brettum,4.62,score,NA,NA,Tres_bon_etat,NA,"Ecosysteme non impacte activites humaines"
Contexte_Climatique,Changement Climatique,NA,NA,NA,NA,Leman_Global,NA,2024,NA,Impact_Temperature,Progressif,NA,NA,NA,NA,NA,"Rechauffement eaux depuis 1973 - favorise especes thermophiles"
Contexte_Climatique,Re-oligotrophisation,NA,NA,NA,NA,Leman_Global,NA,1990-2024,NA,Amelioration_Qualite,Durable,NA,NA,NA,Oligomesotrophe,NA,"Diminution phosphore total - retour conditions oligotrophes"
Contexte_Climatique,Stratification,NA,NA,NA,NA,Leman_Global,NA,2024,NA,Stabilite_Colonne_Eau,Renforcee,NA,NA,NA,NA,NA,"Impact rechauffement - reduit brassage hivernal"